Stud Q1 Q2 Q3 Q4 Q5
1234 052 007 100 078 034
2134 090 036 090 077 030
3124 100 045 020 090 070
4532 011 017 081 032 077
5678 020 012 045 078 034
6134 034 080 055 078 045
7874 060 100 056 078 078
8026 070 010 066 078 056
9893 034 009 077 078 020
1947 045 040 088 078 055
2877 055 050 099 078 080
3189 022 070 100 078 077
4602 089 050 091 078 060
5405 011 011 000 078 010
6999 000 098 089 078 020
2234 012 058 084 090 094
1544 059 017 050 068 064
3136 080 056 094 067 039
5134 100 075 060 088 079
4772 061 037 088 062 057
5693 060 042 047 068 094
1434 044 086 059 070 075
7477 070 090 066 088 074
2024 082 070 056 071 076
9153 054 079 057 068 080
1277 095 050 078 068 065
3875 035 060 079 088 090
3159 072 080 100 098 047
4903 079 060 051 078 070
6205 041 039 040 068 020
3693 064 046 049 078 084
1994 054 066 079 074 065
1567 055 060 078 088 055
2557 065 070 089 088 080
3449 052 060 100 068 087
4702 079 070 081 068 060
5065 031 041 050 068 070
6009 030 068 079 058 060
2454 022 038 074 090 084
1994 089 047 050 068 054
3036 030 066 084 067 079
5554 070 085 070 098 079
